"","INSTNM","CITY","STABBR","PREDDEG","HIGHDEG","CONTROL","region","UGDS","UG","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","place"
"225","University of Missouri-Columbia","Columbia","MO",3,4,1,"WEST",26585,NA,22387,9415,23764,"West"
"226","University of Missouri-Kansas City","Kansas City","MO",3,4,1,"WEST",8309,NA,23437,9456,22203,"West"
"227","Missouri University of Science and Technology","Rolla","MO",3,4,1,"WEST",6064,NA,22102,9510,24675,"West"
"228","University of Missouri-St Louis","Saint Louis","MO",3,4,1,"WEST",8928,NA,22474,9474,24429,"West"
"229","Truman State University","Kirksville","MO",3,4,1,"WEST",5482,NA,19689,7368,13240,"West"
"230","Northwest Missouri State University","Maryville","MO",3,4,1,"WEST",5274,NA,17005,6390,11391,"West"
"231","Southeast Missouri State University","Cape Girardeau","MO",3,4,1,"WEST",9382,NA,17093,6863,12195,"West"
"232","Missouri State University-Springfield","Springfield","MO",3,4,1,"WEST",15746,NA,19117,6908,13388,"West"
"233","Montana State University-Billings","Billings","MT",3,4,1,"WEST",4234,NA,15753,5745,17088,"West"
"234","Montana Tech of the University of Montana","Butte","MT",3,4,1,"WEST",1825,NA,16434,6464,18606,"West"
"235","Montana State University","Bozeman","MT",3,4,1,"WEST",13055,NA,18486,6752,20717,"West"
"236","The University of Montana","Missoula","MT",3,4,1,"WEST",11630,NA,17440,6045,21719,"West"
"237","Montana State University-Northern","Havre","MT",3,4,1,"WEST",1250,NA,17290,5480,17312,"West"
"238","Chadron State College","Chadron","NE",3,4,1,"WEST",2131,NA,15402,5600,5630,"West"
"239","University of Nebraska at Kearney","Kearney","NE",3,4,1,"WEST",5247,NA,19212,6542,12370,"West"
"240","University of Nebraska at Omaha","Omaha","NE",3,4,1,"WEST",12153,NA,16860,6550,16890,"West"
"241","University of Nebraska-Lincoln","Lincoln","NE",3,4,1,"WEST",19376,NA,21024,8060,21388,"West"
"242","Peru State College","Peru","NE",3,4,1,"WEST",1534,NA,15207,6188,6188,"West"
"243","Wayne State College","Wayne","NE",3,4,1,"WEST",2900,NA,15002,5574,9774,"West"
"244","University of Nevada-Las Vegas","Las Vegas","NV",3,4,1,"WEST",22742,NA,17478,6690,20600,"West"
"245","University of Nevada-Reno","Reno","NV",3,4,1,"WEST",15310,NA,21398,6610,20520,"West"
"246","University of New Hampshire-Main Campus","Durham","NH",3,4,1,"EAST",12288,NA,29520,16496,29216,"West"
"247","Keene State College","Keene","NH",3,4,1,"EAST",4643,NA,24614,12776,20161,"West"
"248","Plymouth State University","Plymouth","NH",3,4,1,"EAST",3986,NA,24828,12610,20030,"West"
"249","Granite State College","Concord","NH",3,4,1,"EAST",1680,NA,17576,7065,7545,"West"
"250","Rowan University","Glassboro","NJ",3,4,1,"EAST",10656,NA,26970,12380,20186,"West"
"251","New Jersey City University","Jersey City","NJ",3,4,1,"EAST",6373,NA,19058,10653,19065,"West"
"252","Kean University","Union","NJ",3,4,1,"EAST",11975,NA,19462,10918,17141,"West"
"253","Montclair State University","Montclair","NJ",3,4,1,"EAST",15182,NA,22773,11318,20196,"West"
"254","New Jersey Institute of Technology","Newark","NJ",3,4,1,"EAST",6449,NA,26700,15218,28274,"West"
"255","Ramapo College of New Jersey","Mahwah","NJ",3,4,1,"EAST",5397,NA,27781,13388,22038,"West"
"256","Rutgers University-Camden","Camden","NJ",3,4,1,"EAST",4777,NA,22048,13348,26908,"West"
"257","Rutgers University-New Brunswick","New Brunswick","NJ",3,4,1,"EAST",33427,NA,28011,13499,27523,"West"
"258","Rutgers University-Newark","Newark","NJ",3,4,1,"EAST",6748,NA,22046,12998,27022,"West"
"259","The Richard Stockton College of New Jersey","Galloway","NJ",3,4,1,"EAST",7491,NA,26086,12322,18715,"West"
"260","The College of New Jersey","Ewing","NJ",3,4,1,"EAST",6446,NA,28943,14730,25135,"West"
